pi@raspberrypi:~/Documents/AES-21/Project3/rpi-mmal/build $ perf record ./istool1
Running...
 camera video buffer_size = 1382400
 camera video buffer_num = 2
 preview buffer_size = 1382400
 preview buffer_num = 4
    1 Frame processing times:  Cur. 4.537557 ms  |  Avg. 4.000000 ms  |  matches:  1600
    2 Frame processing times:  Cur. 4.537963 ms  |  Avg. 4.000000 ms  |  matches:  1600
    3 Frame processing times:  Cur. 4.480610 ms  |  Avg. 4.000000 ms  |  matches:  1600
    4 Frame processing times:  Cur. 4.482148 ms  |  Avg. 4.000000 ms  |  matches:  1600
    5 Frame processing times:  Cur. 4.512129 ms  |  Avg. 4.000000 ms  |  matches:  1600
    6 Frame processing times:  Cur. 4.481889 ms  |  Avg. 4.000000 ms  |  matches:  1600
    7 Frame processing times:  Cur. 4.458222 ms  |  Avg. 4.000000 ms  |  matches:  1600
    8 Frame processing times:  Cur. 4.504777 ms  |  Avg. 4.000000 ms  |  matches:  1600
    9 Frame processing times:  Cur. 4.476778 ms  |  Avg. 4.000000 ms  |  matches:  1600
   10 Frame processing times:  Cur. 4.484593 ms  |  Avg. 4.000000 ms  |  matches:  1600
   11 Frame processing times:  Cur. 4.495092 ms  |  Avg. 4.000000 ms  |  matches:  1600
   12 Frame processing times:  Cur. 4.491277 ms  |  Avg. 4.000000 ms  |  matches:  1600
   13 Frame processing times:  Cur. 4.485352 ms  |  Avg. 4.000000 ms  |  matches:  1600
   14 Frame processing times:  Cur. 4.509223 ms  |  Avg. 4.000000 ms  |  matches:  1600
   15 Frame processing times:  Cur. 4.495686 ms  |  Avg. 4.000000 ms  |  matches:  1600
   16 Frame processing times:  Cur. 4.505556 ms  |  Avg. 4.000000 ms  |  matches:  1600
   17 Frame processing times:  Cur. 4.529926 ms  |  Avg. 4.000000 ms  |  matches:  1600
   18 Frame processing times:  Cur. 4.495888 ms  |  Avg. 4.000000 ms  |  matches:  1600
   19 Frame processing times:  Cur. 4.476981 ms  |  Avg. 4.000000 ms  |  matches:  1600
   20 Frame processing times:  Cur. 4.504333 ms  |  Avg. 4.000000 ms  |  matches:  1600
   21 Frame processing times:  Cur. 4.475240 ms  |  Avg. 4.000000 ms  |  matches:  1600
   22 Frame processing times:  Cur. 4.454815 ms  |  Avg. 4.000000 ms  |  matches:  1600
   23 Frame processing times:  Cur. 4.513204 ms  |  Avg. 4.000000 ms  |  matches:  1600
   24 Frame processing times:  Cur. 4.481519 ms  |  Avg. 4.000000 ms  |  matches:  1600
   25 Frame processing times:  Cur. 4.488130 ms  |  Avg. 4.000000 ms  |  matches:  1600
   26 Frame processing times:  Cur. 4.483981 ms  |  Avg. 4.000000 ms  |  matches:  1600
   27 Frame processing times:  Cur. 4.508500 ms  |  Avg. 4.000000 ms  |  matches:  1600
   28 Frame processing times:  Cur. 4.478129 ms  |  Avg. 4.000000 ms  |  matches:  1600
   29 Frame processing times:  Cur. 4.503019 ms  |  Avg. 4.000000 ms  |  matches:  1600
   30 Frame processing times:  Cur. 4.481721 ms  |  Avg. 4.000000 ms  |  matches:  1600
   31 Frame processing times:  Cur. 4.490778 ms  |  Avg. 4.000000 ms  |  matches:  1600
   32 Frame processing times:  Cur. 4.516240 ms  |  Avg. 4.000000 ms  |  matches:  1600
   33 Frame processing times:  Cur. 4.470964 ms  |  Avg. 4.000000 ms  |  matches:  1600
   34 Frame processing times:  Cur. 4.463630 ms  |  Avg. 4.000000 ms  |  matches:  1600
   35 Frame processing times:  Cur. 4.519723 ms  |  Avg. 4.000000 ms  |  matches:  1600
   36 Frame processing times:  Cur. 4.462982 ms  |  Avg. 4.000000 ms  |  matches:  1600
   37 Frame processing times:  Cur. 4.505611 ms  |  Avg. 4.000000 ms  |  matches:  1600
   38 Frame processing times:  Cur. 4.499889 ms  |  Avg. 4.000000 ms  |  matches:  1600
   39 Frame processing times:  Cur. 4.479815 ms  |  Avg. 4.000000 ms  |  matches:  1600
   40 Frame processing times:  Cur. 4.486464 ms  |  Avg. 4.000000 ms  |  matches:  1600
   41 Frame processing times:  Cur. 4.496351 ms  |  Avg. 4.000000 ms  |  matches:  1600
   42 Frame processing times:  Cur. 4.506186 ms  |  Avg. 4.000000 ms  |  matches:  1600
   43 Frame processing times:  Cur. 4.458777 ms  |  Avg. 4.000000 ms  |  matches:  1600
   44 Frame processing times:  Cur. 4.507018 ms  |  Avg. 4.000000 ms  |  matches:  1600
