pi@raspberrypi:~/Documents/AES-21/Project3/rpi-mmal/build $ perf record ./istool1
Running...
 camera video buffer_size = 1382400
 camera video buffer_num = 2
 preview buffer_size = 1382400
 preview buffer_num = 4
    1 Frame processing times:  Cur. 7.962759 ms  |  Avg. 7.000000 ms  |  matches:  1600
    2 Frame processing times:  Cur. 4.387722 ms  |  Avg. 5.500000 ms  |  matches:  1600
    3 Frame processing times:  Cur. 4.345722 ms  |  Avg. 5.000000 ms  |  matches:  1600
    4 Frame processing times:  Cur. 4.412760 ms  |  Avg. 4.750000 ms  |  matches:  1600
    5 Frame processing times:  Cur. 4.403352 ms  |  Avg. 4.600000 ms  |  matches:  1600
    6 Frame processing times:  Cur. 4.437221 ms  |  Avg. 4.500000 ms  |  matches:  1600
    7 Frame processing times:  Cur. 4.408834 ms  |  Avg. 4.428571 ms  |  matches:  1600
    8 Frame processing times:  Cur. 4.391888 ms  |  Avg. 4.375000 ms  |  matches:  1600
    9 Frame processing times:  Cur. 4.382260 ms  |  Avg. 4.333333 ms  |  matches:  1600
   10 Frame processing times:  Cur. 4.439944 ms  |  Avg. 4.300000 ms  |  matches:  1600
   11 Frame processing times:  Cur. 4.397278 ms  |  Avg. 4.272727 ms  |  matches:  1600
   12 Frame processing times:  Cur. 4.379425 ms  |  Avg. 4.250000 ms  |  matches:  1600
   13 Frame processing times:  Cur. 4.430501 ms  |  Avg. 4.230769 ms  |  matches:  1600
   14 Frame processing times:  Cur. 4.352148 ms  |  Avg. 4.214286 ms  |  matches:  1600
   15 Frame processing times:  Cur. 4.386593 ms  |  Avg. 4.200000 ms  |  matches:  1600
   16 Frame processing times:  Cur. 4.365277 ms  |  Avg. 4.187500 ms  |  matches:  1600
   17 Frame processing times:  Cur. 4.368462 ms  |  Avg. 4.176471 ms  |  matches:  1600
   18 Frame processing times:  Cur. 4.412704 ms  |  Avg. 4.166667 ms  |  matches:  1600
   19 Frame processing times:  Cur. 4.392425 ms  |  Avg. 4.157895 ms  |  matches:  1600
   20 Frame processing times:  Cur. 4.388463 ms  |  Avg. 4.150000 ms  |  matches:  1600
   21 Frame processing times:  Cur. 4.397092 ms  |  Avg. 4.142857 ms  |  matches:  1600
   22 Frame processing times:  Cur. 4.423408 ms  |  Avg. 4.136364 ms  |  matches:  1600
   23 Frame processing times:  Cur. 4.394074 ms  |  Avg. 4.130435 ms  |  matches:  1600
   24 Frame processing times:  Cur. 4.402888 ms  |  Avg. 4.125000 ms  |  matches:  1600
   25 Frame processing times:  Cur. 4.429796 ms  |  Avg. 4.120000 ms  |  matches:  1600
   26 Frame processing times:  Cur. 4.404797 ms  |  Avg. 4.115385 ms  |  matches:  1600
   27 Frame processing times:  Cur. 4.396629 ms  |  Avg. 4.111111 ms  |  matches:  1600
   28 Frame processing times:  Cur. 4.402463 ms  |  Avg. 4.107143 ms  |  matches:  1600
   29 Frame processing times:  Cur. 4.345074 ms  |  Avg. 4.103448 ms  |  matches:  1600
   30 Frame processing times:  Cur. 4.379704 ms  |  Avg. 4.100000 ms  |  matches:  1600
   31 Frame processing times:  Cur. 4.356018 ms  |  Avg. 4.096774 ms  |  matches:  1600
   32 Frame processing times:  Cur. 4.408278 ms  |  Avg. 4.093750 ms  |  matches:  1600
   33 Frame processing times:  Cur. 4.381833 ms  |  Avg. 4.090909 ms  |  matches:  1600
   34 Frame processing times:  Cur. 4.379907 ms  |  Avg. 4.088235 ms  |  matches:  1600
   35 Frame processing times:  Cur. 4.404740 ms  |  Avg. 4.085714 ms  |  matches:  1600
   36 Frame processing times:  Cur. 4.349630 ms  |  Avg. 4.083333 ms  |  matches:  1600
   37 Frame processing times:  Cur. 4.391667 ms  |  Avg. 4.081081 ms  |  matches:  1600
   38 Frame processing times:  Cur. 4.392408 ms  |  Avg. 4.078947 ms  |  matches:  1600
   39 Frame processing times:  Cur. 4.400962 ms  |  Avg. 4.076923 ms  |  matches:  1600
   40 Frame processing times:  Cur. 4.373851 ms  |  Avg. 4.075000 ms  |  matches:  1600
   41 Frame processing times:  Cur. 4.407907 ms  |  Avg. 4.073171 ms  |  matches:  1600
   42 Frame processing times:  Cur. 4.394223 ms  |  Avg. 4.071429 ms  |  matches:  1600
   43 Frame processing times:  Cur. 4.398334 ms  |  Avg. 4.069767 ms  |  matches:  1600
   44 Frame processing times:  Cur. 4.373685 ms  |  Avg. 4.068182 ms  |  matches:  1600
   45 Frame processing times:  Cur. 4.384927 ms  |  Avg. 4.066667 ms  |  matches:  1600
   46 Frame processing times:  Cur. 4.420963 ms  |  Avg. 4.065217 ms  |  matches:  1600
   47 Frame processing times:  Cur. 4.384352 ms  |  Avg. 4.063830 ms  |  matches:  1600
   48 Frame processing times:  Cur. 4.393722 ms  |  Avg. 4.062500 ms  |  matches:  1600
   49 Frame processing times:  Cur. 4.416630 ms  |  Avg. 4.061224 ms  |  matches:  1600
   50 Frame processing times:  Cur. 4.388815 ms  |  Avg. 4.060000 ms  |  matches:  1600
   51 Frame processing times:  Cur. 4.385796 ms  |  Avg. 4.058824 ms  |  matches:  1600
   52 Frame processing times:  Cur. 4.407389 ms  |  Avg. 4.057692 ms  |  matches:  1600
   53 Frame processing times:  Cur. 4.396277 ms  |  Avg. 4.056604 ms  |  matches:  1600
   54 Frame processing times:  Cur. 4.412093 ms  |  Avg. 4.055556 ms  |  matches:  1600
   55 Frame processing times:  Cur. 4.351481 ms  |  Avg. 4.054545 ms  |  matches:  1600
   56 Frame processing times:  Cur. 4.438352 ms  |  Avg. 4.053571 ms  |  matches:  1600
   57 Frame processing times:  Cur. 4.416204 ms  |  Avg. 4.052632 ms  |  matches:  1600
   58 Frame processing times:  Cur. 4.405278 ms  |  Avg. 4.051724 ms  |  matches:  1600
   59 Frame processing times:  Cur. 4.387648 ms  |  Avg. 4.050847 ms  |  matches:  1600
   60 Frame processing times:  Cur. 4.372093 ms  |  Avg. 4.050000 ms  |  matches:  1600
   61 Frame processing times:  Cur. 4.439425 ms  |  Avg. 4.049180 ms  |  matches:  1600
   62 Frame processing times:  Cur. 4.377574 ms  |  Avg. 4.048387 ms  |  matches:  1600
   63 Frame processing times:  Cur. 4.386926 ms  |  Avg. 4.047619 ms  |  matches:  1600
   64 Frame processing times:  Cur. 4.384240 ms  |  Avg. 4.046875 ms  |  matches:  1600
   65 Frame processing times:  Cur. 4.379167 ms  |  Avg. 4.046154 ms  |  matches:  1600
   66 Frame processing times:  Cur. 4.408462 ms  |  Avg. 4.045455 ms  |  matches:  1600
   67 Frame processing times:  Cur. 4.403519 ms  |  Avg. 4.044776 ms  |  matches:  1600
   68 Frame processing times:  Cur. 4.389333 ms  |  Avg. 4.044118 ms  |  matches:  1600
   69 Frame processing times:  Cur. 4.394112 ms  |  Avg. 4.043478 ms  |  matches:  1600
   70 Frame processing times:  Cur. 3.567129 ms  |  Avg. 4.028571 ms  |  matches:  1600
   71 Frame processing times:  Cur. 4.398592 ms  |  Avg. 4.028169 ms  |  matches:  1600
   72 Frame processing times:  Cur. 4.381536 ms  |  Avg. 4.027778 ms  |  matches:  1600
   73 Frame processing times:  Cur. 4.408629 ms  |  Avg. 4.027397 ms  |  matches:  1600
   74 Frame processing times:  Cur. 4.399518 ms  |  Avg. 4.027027 ms  |  matches:  1600
   75 Frame processing times:  Cur. 4.389462 ms  |  Avg. 4.026667 ms  |  matches:  1600
   76 Frame processing times:  Cur. 4.420703 ms  |  Avg. 4.026316 ms  |  matches:  1600
   77 Frame processing times:  Cur. 4.395426 ms  |  Avg. 4.025974 ms  |  matches:  1600
   78 Frame processing times:  Cur. 4.384037 ms  |  Avg. 4.025641 ms  |  matches:  1600
   79 Frame processing times:  Cur. 4.416519 ms  |  Avg. 4.025316 ms  |  matches:  1600
   80 Frame processing times:  Cur. 4.385315 ms  |  Avg. 4.025000 ms  |  matches:  1600
   81 Frame processing times:  Cur. 4.396611 ms  |  Avg. 4.024691 ms  |  matches:  1600
   82 Frame processing times:  Cur. 3.374983 ms  |  Avg. 4.012195 ms  |  matches:  1600
   83 Frame processing times:  Cur. 4.417241 ms  |  Avg. 4.012048 ms  |  matches:  1600
   84 Frame processing times:  Cur. 4.394555 ms  |  Avg. 4.011905 ms  |  matches:  1600
   85 Frame processing times:  Cur. 4.406481 ms  |  Avg. 4.011765 ms  |  matches:  1600
   86 Frame processing times:  Cur. 4.412981 ms  |  Avg. 4.011628 ms  |  matches:  1600
   87 Frame processing times:  Cur. 4.353259 ms  |  Avg. 4.011494 ms  |  matches:  1600
   88 Frame processing times:  Cur. 4.386889 ms  |  Avg. 4.011364 ms  |  matches:  1600
   89 Frame processing times:  Cur. 4.437185 ms  |  Avg. 4.011236 ms  |  matches:  1600
   90 Frame processing times:  Cur. 4.404426 ms  |  Avg. 4.011111 ms  |  matches:  1600
   91 Frame processing times:  Cur. 4.415778 ms  |  Avg. 4.010989 ms  |  matches:  1600
   92 Frame processing times:  Cur. 4.376759 ms  |  Avg. 4.010870 ms  |  matches:  1600
   93 Frame processing times:  Cur. 4.392018 ms  |  Avg. 4.010753 ms  |  matches:  1600
   94 Frame processing times:  Cur. 4.402315 ms  |  Avg. 4.010638 ms  |  matches:  1600
   95 Frame processing times:  Cur. 4.407334 ms  |  Avg. 4.010526 ms  |  matches:  1600
   96 Frame processing times:  Cur. 4.395759 ms  |  Avg. 4.010417 ms  |  matches:  1600
   97 Frame processing times:  Cur. 4.403111 ms  |  Avg. 4.010309 ms  |  matches:  1600
   98 Frame processing times:  Cur. 4.404536 ms  |  Avg. 4.010204 ms  |  matches:  1600
   99 Frame processing times:  Cur. 4.409500 ms  |  Avg. 4.010101 ms  |  matches:  1600
  100 Frame processing times:  Cur. 4.417759 ms  |  Avg. 4.010000 ms  |  matches:  1600
  101 Frame processing times:  Cur. 4.466352 ms  |  Avg. 4.009901 ms  |  matches:  1600
  102 Frame processing times:  Cur. 4.429685 ms  |  Avg. 4.009804 ms  |  matches:  1600
  103 Frame processing times:  Cur. 4.362352 ms  |  Avg. 4.009709 ms  |  matches:  1600
  104 Frame processing times:  Cur. 4.408575 ms  |  Avg. 4.009615 ms  |  matches:  1600
  105 Frame processing times:  Cur. 4.413944 ms  |  Avg. 4.009524 ms  |  matches:  1600
  106 Frame processing times:  Cur. 4.418574 ms  |  Avg. 4.009434 ms  |  matches:  1600
  107 Frame processing times:  Cur. 4.424556 ms  |  Avg. 4.009346 ms  |  matches:  1600
  108 Frame processing times:  Cur. 4.361056 ms  |  Avg. 4.009259 ms  |  matches:  1600
  109 Frame processing times:  Cur. 4.411316 ms  |  Avg. 4.009174 ms  |  matches:  1600
  110 Frame processing times:  Cur. 4.384389 ms  |  Avg. 4.009091 ms  |  matches:  1600
  111 Frame processing times:  Cur. 4.410575 ms  |  Avg. 4.009009 ms  |  matches:  1600
  112 Frame processing times:  Cur. 3.494481 ms  |  Avg. 4.000000 ms  |  matches:  1600
  113 Frame processing times:  Cur. 4.412500 ms  |  Avg. 4.000000 ms  |  matches:  1600
  114 Frame processing times:  Cur. 4.386277 ms  |  Avg. 4.000000 ms  |  matches:  1600
  115 Frame processing times:  Cur. 4.418500 ms  |  Avg. 4.000000 ms  |  matches:  1600
  116 Frame processing times:  Cur. 4.401889 ms  |  Avg. 4.000000 ms  |  matches:  1600
  117 Frame processing times:  Cur. 4.389778 ms  |  Avg. 4.000000 ms  |  matches:  1600
  118 Frame processing times:  Cur. 4.393463 ms  |  Avg. 4.000000 ms  |  matches:  1600
  119 Frame processing times:  Cur. 4.400407 ms  |  Avg. 4.000000 ms  |  matches:  1600
  120 Frame processing times:  Cur. 4.385871 ms  |  Avg. 4.000000 ms  |  matches:  1600
  121 Frame processing times:  Cur. 4.416333 ms  |  Avg. 4.000000 ms  |  matches:  1600
  122 Frame processing times:  Cur. 4.400963 ms  |  Avg. 4.000000 ms  |  matches:  1600
  123 Frame processing times:  Cur. 4.372851 ms  |  Avg. 4.000000 ms  |  matches:  1600
  124 Frame processing times:  Cur. 4.365444 ms  |  Avg. 4.000000 ms  |  matches:  1600
  125 Frame processing times:  Cur. 4.405481 ms  |  Avg. 4.000000 ms  |  matches:  1600
  126 Frame processing times:  Cur. 4.329888 ms  |  Avg. 4.000000 ms  |  matches:  1600
  127 Frame processing times:  Cur. 4.404852 ms  |  Avg. 4.000000 ms  |  matches:  1600
  128 Frame processing times:  Cur. 4.410555 ms  |  Avg. 4.000000 ms  |  matches:  1600
  129 Frame processing times:  Cur. 4.337852 ms  |  Avg. 4.000000 ms  |  matches:  1600
  130 Frame processing times:  Cur. 4.380889 ms  |  Avg. 4.000000 ms  |  matches:  1600
  131 Frame processing times:  Cur. 4.350629 ms  |  Avg. 4.000000 ms  |  matches:  1600
  132 Frame processing times:  Cur. 4.376204 ms  |  Avg. 4.000000 ms  |  matches:  1600
  133 Frame processing times:  Cur. 4.405834 ms  |  Avg. 4.000000 ms  |  matches:  1600
  134 Frame processing times:  Cur. 4.393685 ms  |  Avg. 4.000000 ms  |  matches:  1600
  135 Frame processing times:  Cur. 4.385129 ms  |  Avg. 4.000000 ms  |  matches:  1600
  136 Frame processing times:  Cur. 4.398500 ms  |  Avg. 4.000000 ms  |  matches:  1600
  137 Frame processing times:  Cur. 4.441815 ms  |  Avg. 4.000000 ms  |  matches:  1600
  138 Frame processing times:  Cur. 4.318871 ms  |  Avg. 4.000000 ms  |  matches:  1600
  139 Frame processing times:  Cur. 4.400185 ms  |  Avg. 4.000000 ms  |  matches:  1600
  140 Frame processing times:  Cur. 4.397536 ms  |  Avg. 4.000000 ms  |  matches:  1600
  141 Frame processing times:  Cur. 4.396167 ms  |  Avg. 4.000000 ms  |  matches:  1600
  142 Frame processing times:  Cur. 3.778333 ms  |  Avg. 3.992958 ms  |  matches:  1600
  143 Frame processing times:  Cur. 4.419389 ms  |  Avg. 3.993007 ms  |  matches:  1600
  144 Frame processing times:  Cur. 4.383889 ms  |  Avg. 3.993056 ms  |  matches:  1600
  145 Frame processing times:  Cur. 4.365907 ms  |  Avg. 3.993103 ms  |  matches:  1600
  146 Frame processing times:  Cur. 4.419833 ms  |  Avg. 3.993151 ms  |  matches:  1600
  147 Frame processing times:  Cur. 4.385851 ms  |  Avg. 3.993197 ms  |  matches:  1600
  148 Frame processing times:  Cur. 4.406167 ms  |  Avg. 3.993243 ms  |  matches:  1600
  149 Frame processing times:  Cur. 4.413407 ms  |  Avg. 3.993289 ms  |  matches:  1600
  150 Frame processing times:  Cur. 4.390056 ms  |  Avg. 3.993333 ms  |  matches:  1600
  151 Frame processing times:  Cur. 4.406222 ms  |  Avg. 3.993377 ms  |  matches:  1600
  152 Frame processing times:  Cur. 4.387093 ms  |  Avg. 3.993421 ms  |  matches:  1600
  153 Frame processing times:  Cur. 4.393686 ms  |  Avg. 3.993464 ms  |  matches:  1600
  154 Frame processing times:  Cur. 4.442555 ms  |  Avg. 3.993506 ms  |  matches:  1600
  155 Frame processing times:  Cur. 4.421815 ms  |  Avg. 3.993548 ms  |  matches:  1600
  156 Frame processing times:  Cur. 4.412685 ms  |  Avg. 3.993590 ms  |  matches:  1600
  157 Frame processing times:  Cur. 4.377518 ms  |  Avg. 3.993631 ms  |  matches:  1600
  158 Frame processing times:  Cur. 4.425943 ms  |  Avg. 3.993671 ms  |  matches:  1600
  159 Frame processing times:  Cur. 4.393518 ms  |  Avg. 3.993711 ms  |  matches:  1600
  160 Frame processing times:  Cur. 4.398685 ms  |  Avg. 3.993750 ms  |  matches:  1600
  161 Frame processing times:  Cur. 4.432814 ms  |  Avg. 3.993789 ms  |  matches:  1600
  162 Frame processing times:  Cur. 4.351426 ms  |  Avg. 3.993827 ms  |  matches:  1600
  163 Frame processing times:  Cur. 4.422962 ms  |  Avg. 3.993865 ms  |  matches:  1600
  164 Frame processing times:  Cur. 4.405223 ms  |  Avg. 3.993902 ms  |  matches:  1600
  165 Frame processing times:  Cur. 4.398889 ms  |  Avg. 3.993939 ms  |  matches:  1600
  166 Frame processing times:  Cur. 4.425314 ms  |  Avg. 3.993976 ms  |  matches:  1600
  167 Frame processing times:  Cur. 4.442833 ms  |  Avg. 3.994012 ms  |  matches:  1600
  168 Frame processing times:  Cur. 4.371851 ms  |  Avg. 3.994048 ms  |  matches:  1600
  169 Frame processing times:  Cur. 4.431963 ms  |  Avg. 3.994083 ms  |  matches:  1600
